winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency
US,0.0,26.0,14.0,8.0,16.0,9.0,5.0,3.0,0.875,0.8888888888888888
US,0.0,28.0,14.0,2.0,17.0,10.0,5.0,1.0,0.8235294117647058,0.2
US,0.0,29.0,14.0,8.0,17.0,11.0,5.0,3.0,0.8235294117647058,0.7272727272727273
GE,0.0,46.0,6.0,24.0,9.0,20.0,2.0,7.0,0.6666666666666666,1.2
GE,0.0,43.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
US,0.0,31.0,14.0,12.0,18.0,10.0,5.0,4.0,0.7777777777777778,1.2
GE,0.0,51.0,1.0,24.0,2.0,27.0,0.0,7.0,0.5,0.8888888888888888
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,33.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,27.0,0.0,24.0,0.0,13.0,0.0,7.0,0.0,1.8461538461538463
GE,0.0,40.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,35.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,33.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,47.0,8.0,24.0,3.0,22.0,3.0,7.0,2.6666666666666665,1.0909090909090908
US,0.0,32.0,14.0,15.0,18.0,13.0,5.0,4.0,0.7777777777777778,1.1538461538461537
US,0.0,38.0,14.0,12.0,20.0,13.0,5.0,4.0,0.7,0.9230769230769231
US,0.0,29.0,14.0,9.0,16.0,10.0,5.0,3.0,0.875,0.9
US,0.0,32.0,14.0,8.0,20.0,11.0,5.0,3.0,0.7,0.7272727272727273
US,0.0,24.0,14.0,3.0,15.0,8.0,5.0,1.0,0.9333333333333333,0.375
US,0.0,26.0,14.0,1.0,18.0,8.0,5.0,0.0,0.7777777777777778,0.125
GE,0.0,43.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
None,0.0,64.0,8.0,20.0,16.0,34.0,3.0,6.0,0.5,0.5882352941176471
US,0.0,33.0,14.0,2.0,22.0,10.0,5.0,1.0,0.6363636363636364,0.2
GE,0.0,46.0,10.0,24.0,22.0,20.0,3.0,7.0,0.45454545454545453,1.2
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,26.0,0.0,24.0,0.0,12.0,0.0,7.0,0.0,2.0
GE,0.0,48.0,5.0,24.0,9.0,24.0,2.0,7.0,0.5555555555555556,1.0
US,0.0,30.0,14.0,12.0,17.0,11.0,5.0,4.0,0.8235294117647058,1.0909090909090908
US,0.0,31.0,14.0,10.0,19.0,11.0,5.0,3.0,0.7368421052631579,0.9090909090909091
US,0.0,27.0,14.0,12.0,15.0,11.0,5.0,4.0,0.9333333333333333,1.0909090909090908
GE,0.0,58.0,8.0,24.0,10.0,21.0,3.0,7.0,0.8,1.1428571428571428
None,0.0,55.0,13.0,20.0,25.0,21.0,4.0,6.0,0.52,0.9523809523809523
None,0.0,59.0,9.0,20.0,31.0,27.0,3.0,6.0,0.2903225806451613,0.7407407407407407
GE,0.0,34.0,3.0,24.0,4.0,15.0,1.0,7.0,0.75,1.6
GE,0.0,40.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,38.0,0.0,24.0,0.0,19.0,0.0,7.0,0.0,1.263157894736842
GE,0.0,38.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,44.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,44.0,7.0,24.0,9.0,21.0,2.0,7.0,0.7777777777777778,1.1428571428571428
US,0.0,26.0,14.0,7.0,14.0,10.0,5.0,2.0,1.0,0.7
GE,0.0,45.0,6.0,24.0,7.0,19.0,2.0,7.0,0.8571428571428571,1.263157894736842
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
None,0.0,51.0,8.0,20.0,16.0,28.0,3.0,6.0,0.5,0.7142857142857143
US,0.0,25.0,14.0,2.0,14.0,9.0,5.0,1.0,1.0,0.2222222222222222
US,0.0,28.0,14.0,3.0,16.0,10.0,5.0,1.0,0.875,0.3
US,0.0,38.0,14.0,8.0,18.0,12.0,5.0,3.0,0.7777777777777778,0.6666666666666666
GE,0.0,56.0,8.0,24.0,6.0,20.0,3.0,7.0,1.3333333333333333,1.2
GE,0.0,28.0,5.0,24.0,7.0,13.0,2.0,7.0,0.7142857142857143,1.8461538461538463
US,0.0,51.0,14.0,3.0,26.0,15.0,5.0,1.0,0.5384615384615384,0.2
US,0.0,35.0,14.0,11.0,22.0,12.0,5.0,3.0,0.6363636363636364,0.9166666666666666
US,0.0,39.0,14.0,8.0,26.0,12.0,5.0,3.0,0.5384615384615384,0.6666666666666666
GE,0.0,54.0,6.0,24.0,9.0,22.0,2.0,7.0,0.6666666666666666,1.0909090909090908
GE,0.0,33.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,71.0,10.0,24.0,10.0,24.0,3.0,7.0,1.0,1.0
GE,0.0,40.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,42.0,2.0,24.0,1.0,21.0,1.0,7.0,2.0,1.1428571428571428
US,0.0,26.0,14.0,2.0,17.0,8.0,5.0,1.0,0.8235294117647058,0.25
US,0.0,33.0,14.0,6.0,20.0,12.0,5.0,2.0,0.7,0.5
US,0.0,34.0,14.0,2.0,21.0,12.0,5.0,1.0,0.6666666666666666,0.16666666666666666
GE,0.0,34.0,2.0,24.0,1.0,16.0,1.0,7.0,2.0,1.5
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,49.0,0.0,24.0,0.0,26.0,0.0,7.0,0.0,0.9230769230769231
GE,0.0,37.0,0.0,24.0,0.0,19.0,0.0,7.0,0.0,1.263157894736842
GE,0.0,36.0,0.0,24.0,0.0,19.0,0.0,7.0,0.0,1.263157894736842
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,28.0,0.0,24.0,0.0,13.0,0.0,7.0,0.0,1.8461538461538463
GE,0.0,37.0,0.0,24.0,0.0,19.0,0.0,7.0,0.0,1.263157894736842
GE,0.0,37.0,6.0,24.0,7.0,19.0,2.0,7.0,0.8571428571428571,1.263157894736842
US,0.0,25.0,14.0,10.0,14.0,9.0,5.0,3.0,1.0,1.1111111111111112
GE,0.0,51.0,5.0,24.0,9.0,22.0,2.0,7.0,0.5555555555555556,1.0909090909090908
GE,0.0,30.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,36.0,0.0,24.0,0.0,19.0,0.0,7.0,0.0,1.263157894736842
GE,0.0,45.0,0.0,24.0,0.0,23.0,0.0,7.0,0.0,1.0434782608695652
US,0.0,32.0,14.0,11.0,11.0,14.0,5.0,3.0,1.2727272727272727,0.7857142857142857
US,0.0,20.0,14.0,2.0,11.0,8.0,5.0,1.0,1.2727272727272727,0.25
US,0.0,31.0,14.0,10.0,19.0,11.0,5.0,3.0,0.7368421052631579,0.9090909090909091
US,0.0,24.0,14.0,2.0,14.0,9.0,5.0,1.0,1.0,0.2222222222222222
US,0.0,31.0,14.0,2.0,17.0,10.0,5.0,1.0,0.8235294117647058,0.2
US,0.0,25.0,14.0,7.0,15.0,9.0,5.0,2.0,0.9333333333333333,0.7777777777777778
GE,0.0,43.0,4.0,24.0,3.0,20.0,1.0,7.0,1.3333333333333333,1.2
GE,0.0,63.0,8.0,24.0,13.0,32.0,3.0,7.0,0.6153846153846154,0.75
None,0.0,52.0,8.0,20.0,24.0,27.0,3.0,6.0,0.3333333333333333,0.7407407407407407
GE,0.0,50.0,9.0,24.0,23.0,21.0,3.0,7.0,0.391304347826087,1.1428571428571428
GE,0.0,42.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
