winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency
GE,0.0,53.0,8.0,24.0,11.0,20.0,3.0,7.0,0.7272727272727273,1.2
GE,0.0,33.0,3.0,24.0,2.0,16.0,1.0,7.0,1.5,1.5
US,0.0,35.0,14.0,16.0,21.0,13.0,5.0,5.0,0.6666666666666666,1.2307692307692308
None,0.0,47.0,11.0,20.0,25.0,21.0,4.0,6.0,0.44,0.9523809523809523
US,0.0,20.0,14.0,7.0,11.0,8.0,5.0,2.0,1.2727272727272727,0.875
GE,0.0,42.0,2.0,24.0,1.0,21.0,1.0,7.0,2.0,1.1428571428571428
GE,0.0,46.0,4.0,24.0,3.0,22.0,1.0,7.0,1.3333333333333333,1.0909090909090908
None,0.0,50.0,11.0,20.0,26.0,22.0,4.0,6.0,0.4230769230769231,0.9090909090909091
GE,0.0,40.0,2.0,24.0,1.0,19.0,1.0,7.0,2.0,1.263157894736842
GE,0.0,43.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,37.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,43.0,0.0,24.0,0.0,23.0,0.0,7.0,0.0,1.0434782608695652
GE,0.0,48.0,8.0,24.0,9.0,24.0,3.0,7.0,0.8888888888888888,1.0
US,0.0,31.0,14.0,7.0,19.0,11.0,5.0,2.0,0.7368421052631579,0.6363636363636364
US,0.0,33.0,14.0,10.0,21.0,11.0,5.0,3.0,0.6666666666666666,0.9090909090909091
None,0.0,60.0,8.0,20.0,23.0,30.0,3.0,6.0,0.34782608695652173,0.6666666666666666
US,0.0,27.0,14.0,9.0,16.0,10.0,5.0,3.0,0.875,0.9
US,0.0,25.0,14.0,8.0,15.0,9.0,5.0,3.0,0.9333333333333333,0.8888888888888888
US,0.0,19.0,14.0,8.0,11.0,7.0,5.0,3.0,1.2727272727272727,1.1428571428571428
US,0.0,35.0,14.0,11.0,20.0,13.0,5.0,3.0,0.7,0.8461538461538461
None,0.0,90.0,9.0,12.0,16.0,27.0,3.0,4.0,0.5625,0.4444444444444444
GE,0.0,40.0,5.0,24.0,10.0,18.0,2.0,7.0,0.5,1.3333333333333333
GE,0.0,38.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
None,0.0,54.0,8.0,22.0,20.0,30.0,3.0,6.0,0.4,0.7333333333333333
US,0.0,35.0,14.0,2.0,21.0,13.0,5.0,1.0,0.6666666666666666,0.15384615384615385
US,0.0,26.0,14.0,3.0,16.0,9.0,5.0,1.0,0.875,0.3333333333333333
GE,0.0,33.0,3.0,24.0,3.0,15.0,1.0,7.0,1.0,1.6
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,27.0,0.0,24.0,0.0,13.0,0.0,7.0,0.0,1.8461538461538463
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,25.0,0.0,24.0,0.0,12.0,0.0,7.0,0.0,2.0
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,44.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,40.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,46.0,0.0,24.0,1.0,24.0,0.0,7.0,0.0,1.0
US,0.0,40.0,14.0,16.0,23.0,14.0,5.0,5.0,0.6086956521739131,1.1428571428571428
US,0.0,31.0,14.0,2.0,20.0,10.0,5.0,1.0,0.7,0.2
US,0.0,35.0,14.0,11.0,22.0,12.0,5.0,3.0,0.6363636363636364,0.9166666666666666
US,0.0,26.0,14.0,2.0,16.0,9.0,5.0,1.0,0.875,0.2222222222222222
US,0.0,29.0,14.0,11.0,15.0,11.0,5.0,3.0,0.9333333333333333,1.0
US,0.0,35.0,14.0,14.0,21.0,13.0,5.0,4.0,0.6666666666666666,1.0769230769230769
GE,0.0,46.0,3.0,24.0,2.0,20.0,1.0,7.0,1.5,1.2
GE,0.0,30.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0,1.6
GE,0.0,37.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,39.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,43.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,38.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,43.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,36.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
US,0.0,28.0,14.0,11.0,15.0,11.0,5.0,3.0,0.9333333333333333,1.0
GE,0.0,32.0,4.0,24.0,5.0,15.0,1.0,7.0,0.8,1.6
GE,0.0,44.0,0.0,24.0,0.0,23.0,0.0,7.0,0.0,1.0434782608695652
GE,0.0,40.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,39.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,54.0,0.0,24.0,0.0,27.0,0.0,7.0,0.0,0.8888888888888888
US,0.0,54.0,14.0,14.0,14.0,23.0,5.0,4.0,1.0,0.6086956521739131
GE,0.0,58.0,11.0,24.0,16.0,19.0,4.0,7.0,0.6875,1.263157894736842
GE,0.0,44.0,7.0,24.0,6.0,22.0,2.0,7.0,1.1666666666666667,1.0909090909090908
GE,0.0,56.0,11.0,24.0,24.0,23.0,4.0,7.0,0.4583333333333333,1.0434782608695652
GE,0.0,51.0,0.0,24.0,0.0,26.0,0.0,7.0,0.0,0.9230769230769231
GE,0.0,42.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,41.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,45.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
None,0.0,63.0,8.0,23.0,14.0,33.0,3.0,6.0,0.5714285714285714,0.696969696969697
US,0.0,27.0,14.0,3.0,17.0,9.0,5.0,1.0,0.8235294117647058,0.3333333333333333
US,0.0,35.0,14.0,2.0,22.0,12.0,5.0,1.0,0.6363636363636364,0.16666666666666666
None,0.0,59.0,10.0,20.0,24.0,26.0,3.0,6.0,0.4166666666666667,0.7692307692307693
US,0.0,37.0,14.0,10.0,22.0,14.0,5.0,3.0,0.6363636363636364,0.7142857142857143
US,0.0,19.0,14.0,3.0,11.0,7.0,5.0,1.0,1.2727272727272727,0.42857142857142855
US,0.0,42.0,14.0,3.0,22.0,14.0,5.0,1.0,0.6363636363636364,0.21428571428571427
US,0.0,29.0,14.0,13.0,17.0,11.0,5.0,4.0,0.8235294117647058,1.1818181818181819
US,0.0,42.0,14.0,9.0,22.0,16.0,5.0,3.0,0.6363636363636364,0.5625
US,0.0,27.0,14.0,3.0,15.0,10.0,5.0,1.0,0.9333333333333333,0.3
US,0.0,37.0,14.0,12.0,21.0,13.0,5.0,4.0,0.6666666666666666,0.9230769230769231
US,0.0,24.0,14.0,7.0,13.0,9.0,5.0,2.0,1.0769230769230769,0.7777777777777778
US,0.0,23.0,14.0,2.0,14.0,8.0,5.0,1.0,1.0,0.25
US,0.0,25.0,14.0,2.0,16.0,8.0,5.0,1.0,0.875,0.25
GE,0.0,39.0,8.0,24.0,18.0,20.0,3.0,7.0,0.4444444444444444,1.2
US,0.0,25.0,14.0,2.0,15.0,9.0,5.0,1.0,0.9333333333333333,0.2222222222222222
US,0.0,31.0,14.0,2.0,20.0,10.0,5.0,1.0,0.7,0.2
None,0.0,53.0,12.0,20.0,32.0,20.0,4.0,6.0,0.375,1.0
US,0.0,26.0,14.0,8.0,16.0,9.0,5.0,3.0,0.875,0.8888888888888888
US,0.0,19.0,14.0,2.0,11.0,7.0,5.0,1.0,1.2727272727272727,0.2857142857142857
US,0.0,26.0,14.0,11.0,15.0,10.0,5.0,3.0,0.9333333333333333,1.1
US,0.0,29.0,14.0,2.0,17.0,11.0,5.0,1.0,0.8235294117647058,0.18181818181818182
GE,0.0,55.0,6.0,24.0,6.0,22.0,2.0,7.0,1.0,1.0909090909090908
GE,0.0,36.0,8.0,24.0,8.0,17.0,3.0,7.0,1.0,1.411764705882353
US,0.0,26.0,14.0,3.0,16.0,9.0,5.0,1.0,0.875,0.3333333333333333
US,0.0,20.0,14.0,3.0,11.0,8.0,5.0,1.0,1.2727272727272727,0.375
US,0.0,23.0,14.0,2.0,14.0,8.0,5.0,1.0,1.0,0.25
GE,0.0,46.0,7.0,24.0,11.0,21.0,2.0,7.0,0.6363636363636364,1.1428571428571428
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,38.0,8.0,24.0,8.0,20.0,3.0,7.0,1.0,1.2
US,0.0,35.0,14.0,12.0,23.0,11.0,5.0,4.0,0.6086956521739131,1.0909090909090908
US,0.0,18.0,14.0,2.0,10.0,7.0,5.0,1.0,1.4,0.2857142857142857
US,0.0,32.0,14.0,7.0,19.0,12.0,5.0,2.0,0.7368421052631579,0.5833333333333334
GE,0.0,33.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,38.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,42.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,35.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,40.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,41.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,54.0,8.0,24.0,10.0,28.0,3.0,7.0,0.8,0.8571428571428571
US,0.0,37.0,14.0,16.0,21.0,15.0,5.0,5.0,0.6666666666666666,1.0666666666666667
US,0.0,36.0,14.0,2.0,23.0,12.0,5.0,1.0,0.6086956521739131,0.16666666666666666
GE,0.0,50.0,9.0,24.0,6.0,17.0,3.0,7.0,1.5,1.411764705882353
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,30.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,46.0,0.0,24.0,0.0,23.0,0.0,7.0,0.0,1.0434782608695652
GE,0.0,38.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,43.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,33.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,45.0,0.0,24.0,0.0,24.0,0.0,7.0,0.0,1.0
GE,0.0,28.0,0.0,24.0,0.0,14.0,0.0,7.0,0.0,1.7142857142857142
GE,0.0,36.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,38.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,37.0,2.0,24.0,3.0,18.0,1.0,7.0,0.6666666666666666,1.3333333333333333
US,0.0,37.0,14.0,12.0,19.0,14.0,5.0,4.0,0.7368421052631579,0.8571428571428571
None,0.0,55.0,12.0,20.0,31.0,23.0,4.0,6.0,0.3870967741935484,0.8695652173913043
None,0.0,49.0,13.0,20.0,27.0,20.0,4.0,6.0,0.48148148148148145,1.0
GE,0.0,57.0,7.0,24.0,10.0,24.0,2.0,7.0,0.7,1.0
GE,0.0,51.0,6.0,24.0,7.0,27.0,2.0,7.0,0.8571428571428571,0.8888888888888888
US,0.0,24.0,14.0,7.0,14.0,9.0,5.0,2.0,1.0,0.7777777777777778
US,0.0,26.0,14.0,5.0,16.0,9.0,5.0,2.0,0.875,0.5555555555555556
None,0.0,55.0,13.0,21.0,23.0,23.0,4.0,6.0,0.5652173913043478,0.9130434782608695
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
None,0.0,63.0,8.0,20.0,17.0,32.0,3.0,6.0,0.47058823529411764,0.625
None,0.0,50.0,12.0,20.0,30.0,19.0,4.0,6.0,0.4,1.0526315789473684
GE,0.0,58.0,11.0,24.0,13.0,17.0,4.0,7.0,0.8461538461538461,1.411764705882353
GE,0.0,53.0,8.0,24.0,10.0,26.0,3.0,7.0,0.8,0.9230769230769231
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,35.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,36.0,0.0,24.0,0.0,19.0,0.0,7.0,0.0,1.263157894736842
GE,0.0,42.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,52.0,4.0,24.0,10.0,24.0,1.0,7.0,0.4,1.0
GE,0.0,46.0,1.0,24.0,2.0,22.0,0.0,7.0,0.5,1.0909090909090908
US,0.0,25.0,14.0,3.0,13.0,9.0,5.0,1.0,1.0769230769230769,0.3333333333333333
US,0.0,25.0,14.0,8.0,15.0,9.0,5.0,3.0,0.9333333333333333,0.8888888888888888
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,41.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,45.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,41.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,38.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,49.0,0.0,24.0,0.0,23.0,0.0,7.0,0.0,1.0434782608695652
US,0.0,31.0,14.0,10.0,19.0,11.0,5.0,3.0,0.7368421052631579,0.9090909090909091
US,0.0,27.0,14.0,2.0,17.0,9.0,5.0,1.0,0.8235294117647058,0.2222222222222222
None,0.0,46.0,13.0,20.0,26.0,19.0,4.0,6.0,0.5,1.0526315789473684
GE,0.0,37.0,8.0,24.0,8.0,15.0,3.0,7.0,1.0,1.6
GE,0.0,43.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
None,0.0,55.0,12.0,21.0,20.0,23.0,4.0,6.0,0.6,0.9130434782608695
GE,0.0,29.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0,1.6
GE,0.0,29.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0,1.6
GE,0.0,45.0,0.0,24.0,0.0,23.0,0.0,7.0,0.0,1.0434782608695652
GE,0.0,39.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,46.0,0.0,24.0,0.0,25.0,0.0,7.0,0.0,0.96
GE,0.0,25.0,0.0,24.0,0.0,12.0,0.0,7.0,0.0,2.0
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,41.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,38.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,51.0,4.0,24.0,8.0,25.0,1.0,7.0,0.5,0.96
GE,0.0,35.0,8.0,24.0,12.0,16.0,3.0,7.0,0.6666666666666666,1.5
GE,0.0,33.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
None,0.0,65.0,8.0,23.0,10.0,35.0,3.0,6.0,0.8,0.6571428571428571
GE,0.0,53.0,11.0,24.0,20.0,20.0,4.0,7.0,0.55,1.2
GE,0.0,33.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,27.0,2.0,24.0,2.0,13.0,1.0,7.0,1.0,1.8461538461538463
US,0.0,22.0,14.0,11.0,13.0,8.0,5.0,3.0,1.0769230769230769,1.375
US,0.0,26.0,14.0,2.0,15.0,10.0,5.0,1.0,0.9333333333333333,0.2
US,0.0,26.0,14.0,8.0,16.0,9.0,5.0,3.0,0.875,0.8888888888888888
US,0.0,66.0,14.0,16.0,15.0,15.0,5.0,5.0,0.9333333333333333,1.0666666666666667
US,0.0,41.0,14.0,8.0,29.0,11.0,5.0,3.0,0.4827586206896552,0.7272727272727273
US,0.0,32.0,14.0,11.0,20.0,11.0,5.0,3.0,0.7,1.0
US,0.0,32.0,14.0,2.0,16.0,11.0,5.0,1.0,0.875,0.18181818181818182
US,0.0,31.0,14.0,7.0,18.0,11.0,5.0,2.0,0.7777777777777778,0.6363636363636364
US,0.0,31.0,14.0,2.0,18.0,9.0,5.0,1.0,0.7777777777777778,0.2222222222222222
US,0.0,42.0,14.0,16.0,26.0,15.0,5.0,5.0,0.5384615384615384,1.0666666666666667
GE,0.0,38.0,8.0,24.0,11.0,20.0,3.0,7.0,0.7272727272727273,1.2
GE,0.0,51.0,8.0,24.0,11.0,21.0,3.0,7.0,0.7272727272727273,1.1428571428571428
GE,0.0,39.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
US,0.0,24.0,14.0,3.0,12.0,9.0,5.0,1.0,1.1666666666666667,0.3333333333333333
GE,0.0,41.0,3.0,24.0,8.0,20.0,1.0,7.0,0.375,1.2
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,43.0,8.0,24.0,10.0,22.0,3.0,7.0,0.8,1.0909090909090908
US,0.0,31.0,14.0,8.0,18.0,12.0,5.0,3.0,0.7777777777777778,0.6666666666666666
US,0.0,32.0,14.0,2.0,20.0,11.0,5.0,1.0,0.7,0.18181818181818182
US,0.0,31.0,14.0,8.0,19.0,11.0,5.0,3.0,0.7368421052631579,0.7272727272727273
US,0.0,35.0,14.0,2.0,23.0,11.0,5.0,1.0,0.6086956521739131,0.18181818181818182
US,0.0,28.0,14.0,10.0,17.0,10.0,5.0,3.0,0.8235294117647058,1.0
US,0.0,26.0,14.0,7.0,15.0,9.0,5.0,2.0,0.9333333333333333,0.7777777777777778
US,0.0,24.0,14.0,7.0,14.0,9.0,5.0,2.0,1.0,0.7777777777777778
None,0.0,64.0,11.0,18.0,14.0,19.0,4.0,5.0,0.7857142857142857,0.9473684210526315
GE,0.0,25.0,0.0,24.0,1.0,12.0,0.0,7.0,0.0,2.0
GE,0.0,60.0,12.0,24.0,19.0,19.0,4.0,7.0,0.631578947368421,1.263157894736842
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,43.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,40.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,27.0,0.0,24.0,0.0,14.0,0.0,7.0,0.0,1.7142857142857142
GE,0.0,46.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,54.0,6.0,24.0,5.0,27.0,2.0,7.0,1.2,0.8888888888888888
GE,0.0,35.0,3.0,24.0,5.0,16.0,1.0,7.0,0.6,1.5
GE,0.0,42.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,29.0,0.0,24.0,0.0,14.0,0.0,7.0,0.0,1.7142857142857142
GE,0.0,42.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
None,0.0,58.0,13.0,20.0,26.0,23.0,4.0,6.0,0.5,0.8695652173913043
US,0.0,31.0,14.0,2.0,20.0,10.0,5.0,1.0,0.7,0.2
GE,0.0,45.0,11.0,24.0,14.0,16.0,4.0,7.0,0.7857142857142857,1.5
