experiment_id,episode_id,winner,final_vp,steps,rl_damage,enemy_damage
exp_hrl_v1,0,US,0,40,0,0
exp_hrl_v1,1,US,8,77,0,0
exp_hrl_v1,2,US,4,70,0,0
exp_hrl_v1,3,US,0,67,0,0
exp_hrl_v1,4,US,0,48,0,0
exp_hrl_v1,5,US,0,108,0,0
exp_hrl_v1,6,US,12,93,0,0
exp_hrl_v1,7,US,8,66,0,0
exp_hrl_v1,8,US,4,65,0,0
exp_hrl_v1,9,US,12,66,0,0
exp_hrl_v1,10,US,0,55,0,0
exp_hrl_v1,11,US,12,66,0,0
exp_hrl_v1,12,US,0,27,0,0
exp_hrl_v1,13,US,0,45,0,0
exp_hrl_v1,14,US,4,67,0,0
exp_hrl_v1,15,US,0,80,0,0
exp_hrl_v1,16,US,0,43,0,0
exp_hrl_v1,17,US,0,49,0,0
exp_hrl_v1,18,US,4,65,0,0
exp_hrl_v1,19,US,0,46,0,0
exp_hrl_v1,20,US,12,75,0,0
exp_hrl_v1,21,US,8,75,0,0
exp_hrl_v1,22,US,12,76,0,0
exp_hrl_v1,23,US,12,88,0,0
exp_hrl_v1,24,US,8,75,0,0
exp_hrl_v1,25,US,4,65,0,0
exp_hrl_v1,26,US,0,36,0,0
exp_hrl_v1,27,US,12,88,0,0
exp_hrl_v1,28,US,4,47,0,0
exp_hrl_v1,29,US,16,87,0,0
exp_hrl_v1,30,US,12,79,0,0
exp_hrl_v1,31,US,0,59,0,0
exp_hrl_v1,32,US,12,87,0,0
exp_hrl_v1,33,US,0,27,0,0
exp_hrl_v1,34,US,16,87,0,0
exp_hrl_v1,35,US,8,59,0,0
exp_hrl_v1,36,US,16,102,0,0
exp_hrl_v1,37,US,0,38,0,0
exp_hrl_v1,38,US,12,77,0,0
exp_hrl_v1,39,US,16,93,0,0
exp_hrl_v1,40,US,20,87,0,0
exp_hrl_v1,41,US,20,94,0,0
exp_hrl_v1,42,US,4,73,0,0
exp_hrl_v1,43,US,12,71,0,0
exp_hrl_v1,44,US,12,74,0,0
exp_hrl_v1,45,US,12,74,0,0
exp_hrl_v1,46,US,0,62,0,0
exp_hrl_v1,47,US,24,111,0,0
exp_hrl_v1,48,US,4,112,0,0
exp_hrl_v1,49,US,24,96,0,0
exp_hrl_v1,50,US,4,46,0,0
exp_hrl_v1,51,US,8,65,0,0
exp_hrl_v1,52,US,0,44,0,0
exp_hrl_v1,53,US,4,71,0,0
exp_hrl_v1,54,US,12,84,0,0
exp_hrl_v1,55,US,0,37,0,0
exp_hrl_v1,56,US,0,34,0,0
exp_hrl_v1,57,US,12,76,0,0
exp_hrl_v1,58,US,4,57,0,0
exp_hrl_v1,59,US,12,90,0,0
exp_hrl_v1,60,US,0,28,0,0
exp_hrl_v1,61,US,4,77,0,0
exp_hrl_v1,62,US,4,82,0,0
exp_hrl_v1,63,US,4,59,0,0
exp_hrl_v1,64,US,0,30,0,0
exp_hrl_v1,65,US,4,66,0,0
exp_hrl_v1,66,US,8,73,0,0
exp_hrl_v1,67,,24,118,0,0
exp_hrl_v1,68,US,4,85,0,0
exp_hrl_v1,69,US,12,77,0,0
exp_hrl_v1,70,US,0,47,0,0
exp_hrl_v1,71,US,8,64,0,0
exp_hrl_v1,72,US,0,85,0,0
exp_hrl_v1,73,US,12,76,0,0
exp_hrl_v1,74,US,0,26,0,0
exp_hrl_v1,75,US,4,50,0,0
exp_hrl_v1,76,US,8,75,0,0
exp_hrl_v1,77,US,0,37,0,0
exp_hrl_v1,78,US,8,69,0,0
exp_hrl_v1,79,US,12,92,0,0
exp_hrl_v1,80,US,0,46,0,0
exp_hrl_v1,81,US,4,74,0,0
exp_hrl_v1,82,US,12,92,0,0
exp_hrl_v1,83,US,4,53,0,0
exp_hrl_v1,84,US,0,36,0,0
